	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
67																					273	-0.2563335896257903	0.027489282802872647	74	2.034206927412576																															111	0.397265627199452	0.032847372043114366	29.0	0.9525737892503167										
68																					29	0.2561464260447823	0.027606505065099218	74	2.042881374817342																															95	0.3972257781787271	0.0328665006347804	29.0	0.9531285184086317										
69																					221	0.25495848231294127	0.028360407540435194	74	2.0986701579922045																															42	0.3960315804297706	0.033443932343773325	29.0	0.9698740379694264										
70																					90	-0.2546100121111932	0.028584822915891994	74	2.1152768957760073																															251	-0.39560376343506637	0.03365277482997072	29.0	0.9759304700691509										
71																					120	0.2540311142797678	0.028960943248297098	74	2.1431098003739852																															163	0.3954946064641933	0.03370622874876156	29.0	0.9774806337140851										
72																					282	0.2532345578582085	0.02948529052331825	74	2.1819114987255506																															262	-0.39334194686151897	0.03477444169741953	29.0	1.0084588092251663										
73																					193	0.25246769677606495	0.02999762014442041	74	2.21982389068711																															187	-0.3932283038476869	0.03483158330058269	29.0	1.010115915716898										
74																					189	-0.2521662131293476	0.030201078414544107	74	2.234879802676264																															280	0.387387331699705	0.037871864059315356	29.0	1.0982840577201454										
75																					168	0.2518312198120191	0.030428511172856512	74	2.251709826791382																															265	-0.3871446776091672	0.03800262734693004	29.0	1.102076193060971										
76																					187	-0.2517554016010349	0.03048018485516482	74	2.255533679282197																															278	-0.3831071641249584	0.040232010153640946	29.0	1.1667282944555875										
77																					142	0.2515204728491096	0.030640768638658455	74	2.2674168792607254																															37	-0.38119435617271674	0.04132408609796051	29.0	1.1983984968408548										
78																					206	-0.2512400521947576	0.030833378650752585	74	2.2816700201556914																															221	-0.38057715367619815	0.04168147141286112	29.0	1.2087626709729724										
