Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
понять_VERB,-2.25,0.02475,2,13,15,123.5,fpi_lex_повествование.tsv
_SPACE,-2.24,0.02565,4,39,43,128.1,fpi_lex_повествование.tsv
звонить_VERB,-2.21,0.02766,1,17,18,138.1,fpi_lex_повествование.tsv
скорее_ADV,-2.17,0.03061,1,11,12,152.8,fpi_lex_повествование.tsv
для_ADP,-2.16,0.03104,8,50,58,155.0,fpi_lex_повествование.tsv
еще_ADV,-2.16,0.03118,18,88,106,155.7,fpi_lex_повествование.tsv
час_NOUN,-2.16,0.03138,1,10,12,156.6,fpi_lex_повествование.tsv
университет_NOUN,-2.15,0.03187,5,33,38,159.1,fpi_lex_повествование.tsv
мечтать_VERB,-2.14,0.03293,5,21,26,164.4,fpi_lex_повествование.tsv
ты_PRON,-2.13,0.03353,95,273,370,167.4,fpi_lex_повествование.tsv
педагогический_ADJ,-2.13,0.03356,1,13,14,167.5,fpi_lex_повествование.tsv
бы_AUX,-2.13,0.03358,12,68,82,167.6,fpi_lex_повествование.tsv
два_NUM,2.14,0.03363,12,15,27,167.9,fpi_lex_повествование.tsv
пока_SCONJ,-2.13,0.03378,1,9,10,168.6,fpi_lex_повествование.tsv
замечательный_ADJ,-2.12,0.03442,2,17,19,171.8,fpi_lex_повествование.tsv
потом_ADV,2.09,0.03781,12,16,28,188.7,fpi_lex_повествование.tsv
нормальный_ADJ,2.07,0.03947,16,21,37,197.0,fpi_lex_повествование.tsv
но_CCONJ,-2.05,0.04064,44,151,196,202.9,fpi_lex_повествование.tsv
заниматься_VERB,2.02,0.04438,11,18,29,221.5,fpi_lex_повествование.tsv
о_ADP,-3.51,0.00054,0,18,18,2.7,fpi_lex_описание.tsv
старушка_NOUN,-3.11,0.00212,0,15,15,10.6,fpi_lex_описание.tsv
по_ADP,-2.85,0.00471,0,11,11,23.5,fpi_lex_описание.tsv
мысль_NOUN,-2.75,0.00652,0,12,12,32.5,fpi_lex_описание.tsv
я_PRON,-2.71,0.00712,2,17,19,35.6,fpi_lex_описание.tsv
когда_SCONJ,-2.52,0.01256,0,10,10,62.7,fpi_lex_описание.tsv
для_ADP,-2.5,0.01318,0,10,10,65.8,fpi_lex_описание.tsv
он_PRON,-2.48,0.01382,1,14,15,69.0,fpi_lex_описание.tsv
старуха_NOUN,-2.46,0.01445,1,9,10,72.1,fpi_lex_описание.tsv
то_DET,-2.39,0.01774,1,10,11,88.6,fpi_lex_описание.tsv
она_PRON,-2.33,0.02074,9,42,51,103.5,fpi_lex_описание.tsv
еще_ADV,-2.32,0.02093,0,10,10,104.5,fpi_lex_описание.tsv
думать_VERB,-2.31,0.02189,10,53,63,109.3,fpi_lex_описание.tsv
за_ADP,-2.22,0.02748,0,10,10,137.2,fpi_lex_описание.tsv
же_PART,-2.09,0.03733,1,9,10,186.4,fpi_lex_описание.tsv
то_PRON,-2.08,0.03824,1,16,17,190.9,fpi_lex_описание.tsv
21_получение_результата-разработка,-2.06,0.04054,172,363,538,21.8,interp_fpi_w2v_повествование.tsv
